VARIABLE NAME,developer-friendly name,NAME OF DATA ELEMENT,SOURCE,dev-category
CIP46CERT1,program.certificate_lt_1_yr.construction,Certificate of less than one academic year in Construction Trades.,IPEDS,academics
CIP46CERT2,program.certificate_lt_2_yr.construction,Certificate of at least one but less than two academic years in Construction Trades.,IPEDS,academics
CIP46ASSOC,program.assoc.construction,Associate degree in Construction Trades.,IPEDS,academics
CIP46CERT4,program.certificate_lt_4_yr.construction,Award of at least two but less than four academic years in Construction Trades.,IPEDS,academics
CIP46BACHL,program.bachelors.construction,Bachelor's degree in Construction Trades.,IPEDS,academics
CIP47CERT1,program.certificate_lt_1_yr.mechanic_repair_technology,Certificate of less than one academic year in Mechanic And Repair Technologies/Technicians.,IPEDS,academics
CIP47CERT2,program.certificate_lt_2_yr.mechanic_repair_technology,Certificate of at least one but less than two academic years in Mechanic And Repair Technologies/Technicians.,IPEDS,academics
CIP47ASSOC,program.assoc.mechanic_repair_technology,Associate degree in Mechanic And Repair Technologies/Technicians.,IPEDS,academics
CIP47CERT4,program.certificate_lt_4_yr.mechanic_repair_technology,Award of at least two but less than four academic years in Mechanic And Repair Technologies/Technicians.,IPEDS,academics
CIP47BACHL,program.bachelors.mechanic_repair_technology,Bachelor's degree in Mechanic And Repair Technologies/Technicians.,IPEDS,academics
CIP48CERT1,program.certificate_lt_1_yr.precision_production,Certificate of less than one academic year in Precision Production.,IPEDS,academics
CIP48CERT2,program.certificate_lt_2_yr.precision_production,Certificate of at least one but less than two academic years in Precision Production.,IPEDS,academics
CIP48ASSOC,program.assoc.precision_production,Associate degree in Precision Production.,IPEDS,academics
CIP48CERT4,program.certificate_lt_4_yr.precision_production,Award of at least two but less than four academic years in Precision Production.,IPEDS,academics
CIP48BACHL,program.bachelors.precision_production,Bachelor's degree in Precision Production.,IPEDS,academics
CIP49CERT1,program.certificate_lt_1_yr.transportation,Certificate of less than one academic year in Transportation And Materials Moving.,IPEDS,academics
CIP49CERT2,program.certificate_lt_2_yr.transportation,Certificate of at least one but less than two academic years in Transportation And Materials Moving.,IPEDS,academics
CIP49ASSOC,program.assoc.transportation,Associate degree in Transportation And Materials Moving.,IPEDS,academics
CIP49CERT4,program.certificate_lt_4_yr.transportation,Award of at least two but less than four academic years in Transportation And Materials Moving.,IPEDS,academics
CIP49BACHL,program.bachelors.transportation,Bachelor's degree in Transportation And Materials Moving.,IPEDS,academics
CIP50CERT1,program.certificate_lt_1_yr.visual_performing,Certificate of less than one academic year in Visual And Performing Arts.,IPEDS,academics
CIP50CERT2,program.certificate_lt_2_yr.visual_performing,Certificate of at least one but less than two academic years in Visual And Performing Arts.,IPEDS,academics
CIP50ASSOC,program.assoc.visual_performing,Associate degree in Visual And Performing Arts.,IPEDS,academics
CIP50CERT4,program.certificate_lt_4_yr.visual_performing,Award of at least two but less than four academic years in Visual And Performing Arts.,IPEDS,academics
CIP50BACHL,program.bachelors.visual_performing,Bachelor's degree in Visual And Performing Arts.,IPEDS,academics
CIP51CERT1,program.certificate_lt_1_yr.health,Certificate of less than one academic year in Health Professions And Related Programs.,IPEDS,academics
CIP51CERT2,program.certificate_lt_2_yr.health,Certificate of at least one but less than two academic years in Health Professions And Related Programs.,IPEDS,academics
CIP51ASSOC,program.assoc.health,Associate degree in Health Professions And Related Programs.,IPEDS,academics
CIP51CERT4,program.certificate_lt_4_yr.health,Award of at least two but less than four academic years in Health Professions And Related Programs.,IPEDS,academics
CIP51BACHL,program.bachelors.health,Bachelor's degree in Health Professions And Related Programs.,IPEDS,academics
CIP52CERT1,program.certificate_lt_1_yr.business_marketing,"Certificate of less than one academic year in Business, Management, Marketing, And Related Support Services.",IPEDS,academics
CIP52CERT2,program.certificate_lt_2_yr.business_marketing,"Certificate of at least one but less than two academic years in Business, Management, Marketing, And Related Support Services.",IPEDS,academics
CIP52ASSOC,program.assoc.business_marketing,"Associate degree in Business, Management, Marketing, And Related Support Services.",IPEDS,academics
CIP52CERT4,program.certificate_lt_4_yr.business_marketing,"Award of at least two but less than four academic years in Business, Management, Marketing, And Related Support Services.",IPEDS,academics
CIP52BACHL,program.bachelors.business_marketing,"Bachelor's degree in Business, Management, Marketing, And Related Support Services.",IPEDS,academics
CIP54CERT1,program.certificate_lt_1_yr.history,Certificate of less than one academic year in History.,IPEDS,academics
CIP54CERT2,program.certificate_lt_2_yr.history,Certificate of at least one but less than two academic years in History.,IPEDS,academics
CIP54ASSOC,program.assoc.history,Associate degree in History.,IPEDS,academics
CIP54CERT4,program.certificate_lt_4_yr.history,Award of at least two but less than four academic years in History.,IPEDS,academics
CIP54BACHL,program.bachelors.history,Bachelor's degree in History.,IPEDS,academics
DISTANCEONLY,online_only,Flag for distance-education-only education,IPEDS,school
UGDS,size,Enrollment of undergraduate certificate/degree-seeking students,IPEDS,student
UG,enrollment.all,Enrollment of all undergraduate students,IPEDS,student
UGDS_WHITE,demographics.race_ethnicity.white,Total share of enrollment of undergraduate degree-seeking students who are white,IPEDS,student
UGDS_BLACK,demographics.race_ethnicity.black,Total share of enrollment of undergraduate degree-seeking students who are black,IPEDS,student
UGDS_HISP,demographics.race_ethnicity.hispanic,Total share of enrollment of undergraduate degree-seeking students who are Hispanic,IPEDS,student
UGDS_ASIAN,demographics.race_ethnicity.asian,Total share of enrollment of undergraduate degree-seeking students who are Asian,IPEDS,student
UGDS_AIAN,demographics.race_ethnicity.aian,Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native,IPEDS,student
UGDS_NHPI,demographics.race_ethnicity.nhpi,Total share of enrollment of undergraduate degree-seeking students who are Native Hawaiian/Pacific Islander,IPEDS,student
UGDS_2MOR,demographics.race_ethnicity.two_or_more,Total share of enrollment of undergraduate degree-seeking students who are two or more races,IPEDS,student
UGDS_NRA,demographics.race_ethnicity.non_resident_alien,Total share of enrollment of undergraduate degree-seeking students who are non-resident aliens,IPEDS,student
UGDS_UNKN,demographics.race_ethnicity.unknown,Total share of enrollment of undergraduate degree-seeking students whose race is unknown,IPEDS,student
UGDS_WHITENH,demographics.race_ethnicity.white_non_hispanic,Total share of enrollment of undergraduate degree-seeking students who are white non-Hispanic,IPEDS,student
UGDS_BLACKNH,demographics.race_ethnicity.black_non_hispanic,Total share of enrollment of undergraduate degree-seeking students who are black non-Hispanic,IPEDS,student
UGDS_API,demographics.race_ethnicity.asian_pacific_islander,Total share of enrollment of undergraduate degree-seeking students who are Asian/Pacific Islander,IPEDS,student
UGDS_AIANOLD,demographics.race_ethnicity.aian_prior_2009,Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native,IPEDS,student
UGDS_HISPOLD,demographics.race_ethnicity.hispanic_prior_2009,Total share of enrollment of undergraduate degree-seeking students who are Hispanic,IPEDS,student
UG_NRA,demographics.non_resident_aliens_2000,Total share of enrollment of undergraduate students who are non-resident aliens,IPEDS,student
UG_UNKN,demographics.race_ethnicity.unknown_2000,Total share of enrollment of undergraduate students whose race is unknown,IPEDS,student
UG_WHITENH,demographics.race_ethnicity.white_2000,Total share of enrollment of undergraduate students who are white non-Hispanic,IPEDS,student
UG_BLACKNH,demographics.race_ethnicity.black_2000,Total share of enrollment of undergraduate students who are black non-Hispanic,IPEDS,student
UG_API,demographics.race_ethnicity.api_2000,Total share of enrollment of undergraduate students who are Asian/Pacific Islander,IPEDS,student
UG_AIANOLD,demographics.race_ethnicity.aian_2000,Total share of enrollment of undergraduate students who are American Indian/Alaska Native,IPEDS,student
UG_HISPOLD,demographics.race_ethnicity.hispanic_2000,Total share of enrollment of undergraduate students who are Hispanic,IPEDS,student
PPTUG_EF,part_time_share,"Share of undergraduate, degree-/certificate-seeking students who are part-time",IPEDS,student
PPTUG_EF2,part_time_share_2000,"Share of undergraduate, degree-/certificate-seeking students who are part-time",IPEDS,student
CURROPER,operating,"Flag for currently operating institution, 0=closed, 1=operating",FSA,school
NPT4_PUB,avg_net_price.public,Average net price for Title IV institutions (public institutions),IPEDS,cost
NPT4_PRIV,avg_net_price.private,Average net price for Title IV institutions (private for-profit and nonprofit institutions),IPEDS,cost
NPT4_PROG,avg_net_price.program_year,Average net price for the largest program at the institution for program-year institutions,IPEDS,cost
NPT4_OTHER,avg_net_price.other_academic_year,"Average net price for the largest program at the institution for schools on ""other"" academic year calendars",IPEDS,cost
NPT41_PUB,net_price.public.by_income_level.0-30000,"Average net price for $0-$30,000 family income (public institutions)",IPEDS,cost
NPT42_PUB,net_price.public.by_income_level.30001-48000,"Average net price for $30,001-$48,000 family income (public institutions)",IPEDS,cost
NPT43_PUB,net_price.public.by_income_level.48001-75000,"Average net price for $48,001-$75,000 family income (public institutions)",IPEDS,cost
NPT44_PUB,net_price.public.by_income_level.75001-110000,"Average net price for $75,001-$110,000 family income (public institutions)",IPEDS,cost
NPT45_PUB,net_price.public.by_income_level.110001-plus,"Average net price for $110,000+ family income (public institutions)",IPEDS,cost
NPT41_PRIV,net_price.private.by_income_level.0-30000,"Average net price for $0-$30,000 family income (private for-profit and nonprofit institutions)",IPEDS,cost
NPT42_PRIV,net_price.private.by_income_level.30001-48000,"Average net price for $30,001-$48,000 family income (private for-profit and nonprofit institutions)",IPEDS,cost
NPT43_PRIV,net_price.private.by_income_level.48001-75000,"Average net price for $48,001-$75,000 family income (private for-profit and nonprofit institutions)",IPEDS,cost
NPT44_PRIV,net_price.private.by_income_level.75001-110000,"Average net price for $75,001-$110,000 family income (private for-profit and nonprofit institutions)",IPEDS,cost
NPT45_PRIV,net_price.private.by_income_level.110001-plus,"Average net price for $110,000+ family income (private for-profit and nonprofit institutions)",IPEDS,cost
NPT41_PROG,net_price.program_reporter.by_income_level.0-30000,"Average net price for $0-$30,000 family income (program-year institutions)",IPEDS,cost
NPT42_PROG,net_price.program_reporter.by_income_level.30001-48000,"Average net price for $30,001-$48,000 family income (program-year institutions)",IPEDS,cost
NPT43_PROG,net_price.program_reporter.by_income_level.48001-75000,"Average net price for $48,001-$75,000 family income (program-year institutions)",IPEDS,cost
NPT44_PROG,net_price.program_reporter.by_income_level.75001-110000,"Average net price for $75,001-$110,000 family income (program-year institutions)",IPEDS,cost
NPT45_PROG,net_price.program_reporter.by_income_level.110001-plus,"Average net price for $110,000+ family income (program-year institutions)",IPEDS,cost
NPT41_OTHER,net_price.other_acad_calendar.by_income_level.0-30000,"Average net price for $0-$30,000 family income (other academic calendar institutions)",IPEDS,cost
